"id","commodity_id","ohlc_daily","ohlc_weekly","ohlc_monthly","volume","open_interest","liquidity","bid_ask_spread","volatility","price_cycle"
125,62,"{""open"" : 26.45422022061277, ""high"" : 46.35762449954753, ""low"" : 10.116576678520293, ""close"" : 10.682998629855156}","{""open"" : 48.33160723207093, ""high"" : 28.119957739840594, ""low"" : 68.91233766192266, ""close"" : 85.96158933018611}","{""open"" : 20.152693292726486, ""high"" : 92.17243514558564, ""low"" : 16.82583684850826, ""close"" : 92.152846987464}","95206","39458","49.2189961507651","3.38210818511724","4.77627899320049","Cyclical"
126,63,"{""open"" : 99.04626347446879, ""high"" : 26.287433700299225, ""low"" : 36.862248000996765, ""close"" : 77.32321262450002}","{""open"" : 75.03729705545695, ""high"" : 41.06503978277946, ""low"" : 50.14565333710523, ""close"" : 67.29719694533817}","{""open"" : 74.85414727799919, ""high"" : 82.13483929464091, ""low"" : 60.25328739609775, ""close"" : 94.00954372723689}","78800","86426","15.1582108403034","1.97363070523409","1.17209962085179","Cyclical"
127,64,"{""open"" : 38.282793542436956, ""high"" : 56.82389257958456, ""low"" : 63.30319111479891, ""close"" : 33.186627731778096}","{""open"" : 79.51910606416783, ""high"" : 4.939462878375158, ""low"" : 35.42697736755839, ""close"" : 22.969884501907025}","{""open"" : 30.19475880265683, ""high"" : 34.521300165591946, ""low"" : 48.04234947247578, ""close"" : 84.59141988824024}","64197","5052","10.6841803088292","3.96993118546612","0.109629652812229","Cyclical"
128,65,"{""open"" : 17.456534609723096, ""high"" : 29.78519942669972, ""low"" : 59.24758144922377, ""close"" : 17.993684711376744}","{""open"" : 74.06604956373164, ""high"" : 78.24893637101293, ""low"" : 50.53257063952492, ""close"" : 49.36072763794439}","{""open"" : 51.480488375306585, ""high"" : 7.064187033740303, ""low"" : 2.383309592649425, ""close"" : 5.9016253093945314}","69296","94463","18.6779687978554","1.29002527308597","5.99362720196465","Cyclical"
129,66,"{""open"" : 75.21229332944151, ""high"" : 119.76773720843967, ""low"" : 42.12250109776267, ""close"" : 23.690222663421157}","{""open"" : 94.90013548355172, ""high"" : 67.78800587881015, ""low"" : 42.12129769709147, ""close"" : 99.4117038991829}","{""open"" : 78.70671329401561, ""high"" : 97.48052910596356, ""low"" : 56.13011197941347, ""close"" : 96.46942705346294}","77078","15284","84.9249154124721","1.78336327758992","1.34326845638066","Cyclical"
130,67,"{""open"" : 41.22680144134716, ""high"" : 83.29213331253067, ""low"" : 57.05786914465661, ""close"" : 11.238291729443395}","{""open"" : 43.65370528948682, ""high"" : 3.660498009462092, ""low"" : 17.84529438915925, ""close"" : 36.832811763406845}","{""open"" : 59.581190097124946, ""high"" : 26.180427737511618, ""low"" : 6.0926701583836085, ""close"" : 8.043606814338888}","54361","24362","99.5643857085138","2.11661942246409","9.15214688234993","Cyclical"
131,68,"{""open"" : 84.96360324723497, ""high"" : 106.64312809678219, ""low"" : 1.4784889922351319, ""close"" : 3.6734105324856436}","{""open"" : 81.89903820750372, ""high"" : 73.38053826138602, ""low"" : 0.326047953049482, ""close"" : 73.12910629897978}","{""open"" : 51.301600559800484, ""high"" : 93.48425541199781, ""low"" : 40.48295891513588, ""close"" : 68.19497939395647}","60164","90187","8.43022138638598","4.45727126872755","1.71928300667376","Cyclical"
132,69,"{""open"" : 39.54162013997185, ""high"" : 61.49262512547247, ""low"" : 38.419356711468765, ""close"" : 35.95753865861862}","{""open"" : 47.696979551220984, ""high"" : 80.5380922290741, ""low"" : 45.58500622636469, ""close"" : 27.5076064476901}","{""open"" : 31.37823350041713, ""high"" : 0.5133514084482371, ""low"" : 9.631426898514004, ""close"" : 30.461066661635307}","59836","74030","64.0582656230513","1.94630354164139","9.7577106442862","Cyclical"
133,70,"{""open"" : 55.497577819909026, ""high"" : 81.19385556441506, ""low"" : 30.518211983021875, ""close"" : 25.280924800417083}","{""open"" : 96.15596662643881, ""high"" : 18.915429344431143, ""low"" : 73.20116835611637, ""close"" : 71.35584329621838}","{""open"" : 33.040008894390006, ""high"" : 99.43385429696187, ""low"" : 6.396640798621522, ""close"" : 57.06993133476041}","76170","13347","36.3687915619493","2.06043607651367","3.15876164591412","Cyclical"
134,71,"{""open"" : 66.85566470661803, ""high"" : 16.221397888065113, ""low"" : 78.75243681319671, ""close"" : 64.20632371369443}","{""open"" : 32.73299564242238, ""high"" : 52.41990514810378, ""low"" : 77.80233234735115, ""close"" : 26.303963630334714}","{""open"" : 12.655459048371064, ""high"" : 14.099088896382321, ""low"" : 53.15760256655081, ""close"" : 14.048498354092454}","67487","61186","15.925701131261","3.41144744749081","1.21895060248637","Cyclical"
135,72,"{""open"" : 57.44212797314368, ""high"" : 78.6146415160284, ""low"" : 49.21292866408347, ""close"" : 63.179503754129925}","{""open"" : 65.50053948861701, ""high"" : 69.72562898482295, ""low"" : 61.80385246047848, ""close"" : 85.89019535560445}","{""open"" : 70.69933110208547, ""high"" : 44.20729137019624, ""low"" : 74.9197899750665, ""close"" : 54.500785050348924}","44921","33472","22.6240049190109","4.55491337362105","6.77868125615706","Cyclical"
136,73,"{""open"" : 0.021303440312880895, ""high"" : 40.16045168302994, ""low"" : 33.180311979845634, ""close"" : 78.23622664350809}","{""open"" : 42.57716991227496, ""high"" : 59.652546022453954, ""low"" : 10.396860860173156, ""close"" : 47.152640082226085}","{""open"" : 22.99554719619772, ""high"" : 79.39551103728053, ""low"" : 71.4078733806594, ""close"" : 9.747035704685425}","4523","39177","0.161190518434617","1.33159012553738","7.73035137733367","Cyclical"
137,74,"{""open"" : 99.5882886481688, ""high"" : 38.4653105659321, ""low"" : 4.063237869925036, ""close"" : 56.49645940264878}","{""open"" : 30.01458955168781, ""high"" : 39.168637961868185, ""low"" : 35.02169818677462, ""close"" : 1.0030828563300398}","{""open"" : 88.53386621395758, ""high"" : 110.57183017204673, ""low"" : 59.17691778880132, ""close"" : 20.16545861870298}","91256","80275","78.604958104502","1.82019032105259","7.53676064398262","Cyclical"
138,75,"{""open"" : 99.03864288618989, ""high"" : 56.683421638017634, ""low"" : 41.69924183029573, ""close"" : 60.38300555314227}","{""open"" : 68.97031904363888, ""high"" : 39.04399386804635, ""low"" : 12.647389437536347, ""close"" : 53.087176049532815}","{""open"" : 41.9451600917528, ""high"" : 33.629625599200956, ""low"" : 25.117780056308288, ""close"" : 90.1311613209248}","94054","90645","96.5042151260559","0.257123310193097","0.615677528824354","Cyclical"
139,76,"{""open"" : 68.34689449080169, ""high"" : 58.926195695215014, ""low"" : 30.829530952653723, ""close"" : 25.04391925618874}","{""open"" : 31.035657633536662, ""high"" : 68.41202658423133, ""low"" : 21.584843671768184, ""close"" : 16.347309333773396}","{""open"" : 53.598536912353836, ""high"" : 39.82049992925619, ""low"" : 19.5280789789358, ""close"" : 72.8917819541812}","99500","8307","51.5551278910648","0.480593266357291","7.53217925901237","Cyclical"
140,77,"{""open"" : 29.696184786731237, ""high"" : 12.744950590719855, ""low"" : 50.41996268182595, ""close"" : 17.03012769435781}","{""open"" : 26.107597221310442, ""high"" : 82.67253757907713, ""low"" : 69.40763038355634, ""close"" : 81.48052981624959}","{""open"" : 9.961484679300003, ""high"" : 50.44759396631542, ""low"" : 22.43072562553536, ""close"" : 56.816272798666255}","47796","46160","25.0276683973405","3.20979381581647","8.63926115692475","Cyclical"
141,78,"{""open"" : 62.93125294335744, ""high"" : 45.77147264869446, ""low"" : 7.256450963728565, ""close"" : 4.789802033725232}","{""open"" : 95.59376050876267, ""high"" : 11.377756234886878, ""low"" : 37.79957051036991, ""close"" : 81.64755859433748}","{""open"" : 35.06189367679118, ""high"" : 60.484081477178684, ""low"" : 20.88313340305671, ""close"" : 88.6028820380575}","24519","93910","51.5611473272732","4.52996048236264","0.434760581416835","Cyclical"
142,79,"{""open"" : 78.39003199614439, ""high"" : 102.3164430141575, ""low"" : 72.2845080790128, ""close"" : 85.6029748955096}","{""open"" : 8.674584390085883, ""high"" : 7.155241640058714, ""low"" : 52.3299887282318, ""close"" : 53.93261690192619}","{""open"" : 53.90140634538525, ""high"" : 69.45417418529047, ""low"" : 11.72565046663097, ""close"" : 69.25424141985252}","26072","55783","60.5759249983789","1.55853146978323","4.72589295065749","Cyclical"
143,80,"{""open"" : 29.160063988564346, ""high"" : 17.860872752504804, ""low"" : 10.426661114268327, ""close"" : 38.04956060692852}","{""open"" : 23.55754329445321, ""high"" : 19.337233916864875, ""low"" : 18.85913134818569, ""close"" : 3.106510772573534}","{""open"" : 80.80797833543811, ""high"" : 26.67055125675774, ""low"" : 31.517301363587507, ""close"" : 60.39687539740579}","70427","16975","80.8700123464998","3.54871332384576","4.45550546624861","Cyclical"
144,81,"{""open"" : 94.1212428648208, ""high"" : 91.50741982457741, ""low"" : 77.67695635130232, ""close"" : 68.02465473575403}","{""open"" : 81.38226064506817, ""high"" : 4.051049767920425, ""low"" : 55.68887153487051, ""close"" : 48.2154922037565}","{""open"" : 38.74530156710782, ""high"" : 107.60878997136363, ""low"" : 5.1553872256925715, ""close"" : 5.065663219108063}","61923","71912","57.7107297168868","4.20031499352855","3.37512623328102","Cyclical"
145,82,"{""open"" : 79.85961584096782, ""high"" : 26.883976269240158, ""low"" : 69.72899396428859, ""close"" : 62.88414614037316}","{""open"" : 73.5536084351379, ""high"" : 82.91197462391781, ""low"" : 71.96747663384797, ""close"" : 69.53243599618546}","{""open"" : 53.15484282682772, ""high"" : 33.3916682476434, ""low"" : 55.703850667183055, ""close"" : 41.06012185364496}","23931","71303","4.09721110892576","3.16521246798648","7.39657271004985","Cyclical"
146,83,"{""open"" : 44.39410824523931, ""high"" : 71.30231306013431, ""low"" : 15.103195314399134, ""close"" : 53.94208560560594}","{""open"" : 51.21329982789584, ""high"" : 4.157110985937029, ""low"" : 7.469042054510293, ""close"" : 58.760430036240585}","{""open"" : 6.299950764800655, ""high"" : 114.79083622825658, ""low"" : 27.08960545098222, ""close"" : 21.60345519469451}","74954","4739","73.7518914651976","4.53878368296289","7.30130262197375","Cyclical"
147,84,"{""open"" : 75.29112730521526, ""high"" : 67.0189785794996, ""low"" : 28.02889795195462, ""close"" : 75.72597932496541}","{""open"" : 46.13415191883987, ""high"" : 76.12136786518148, ""low"" : 16.19394563367477, ""close"" : 83.43398955956613}","{""open"" : 55.66815877133797, ""high"" : 17.39100195393003, ""low"" : 47.08019722358932, ""close"" : 19.99024109544618}","3921","669","6.73443316276308","2.26005242263118","5.63165214547598","Cyclical"
148,85,"{""open"" : 35.214884455861004, ""high"" : 58.2540220132976, ""low"" : 59.95495466293228, ""close"" : 67.4204525398886}","{""open"" : 42.325354559454766, ""high"" : 50.90791817589002, ""low"" : 20.496781703922746, ""close"" : 84.49309428219658}","{""open"" : 33.24623093624219, ""high"" : 59.53978093599802, ""low"" : 54.56112466129392, ""close"" : 40.09385290284448}","11947","63964","62.0505933706682","4.56005265295881","3.75555885672643","Cyclical"
149,86,"{""open"" : 90.60289355775808, ""high"" : 27.384259359770535, ""low"" : 52.74966363128989, ""close"" : 58.347535130034366}","{""open"" : 50.50814031022897, ""high"" : 75.55291552749061, ""low"" : 17.73524901087912, ""close"" : 21.700763996169204}","{""open"" : 55.79306181342412, ""high"" : 107.30128339835424, ""low"" : 40.470057261791794, ""close"" : 90.9119858612446}","13185","96533","33.4972909573357","3.12368118520561","3.1671596520755","Cyclical"
150,87,"{""open"" : 80.04731425649685, ""high"" : 63.704255657452215, ""low"" : 22.12036400440814, ""close"" : 57.55041239951824}","{""open"" : 38.18704276269258, ""high"" : 33.966562012792465, ""low"" : 38.367305786373734, ""close"" : 33.72139649196535}","{""open"" : 57.20920754583927, ""high"" : 50.577188898152215, ""low"" : 58.75804945080187, ""close"" : 6.638665919157072}","90138","67803","82.6961843742758","1.14868502009166","7.90125420245028","Cyclical"
151,88,"{""open"" : 95.45153083708269, ""high"" : 94.06969587433966, ""low"" : 1.4628102107504937, ""close"" : 20.956001413021987}","{""open"" : 73.47735086447078, ""high"" : 44.536808102310026, ""low"" : 6.99177943206605, ""close"" : 65.17783427618176}","{""open"" : 94.68863831653873, ""high"" : 16.699486596576172, ""low"" : 26.05904213563857, ""close"" : 90.66816148845469}","40424","3948","87.8936050298517","3.04433783776415","5.3965703304237","Cyclical"
152,89,"{""open"" : 66.35009775056074, ""high"" : 101.95187637942664, ""low"" : 75.46270958651718, ""close"" : 53.00358280195714}","{""open"" : 83.1762012319281, ""high"" : 23.634338506748918, ""low"" : 6.225646725332421, ""close"" : 7.285148608761993}","{""open"" : 97.04645398227909, ""high"" : 91.38134203604848, ""low"" : 58.099098596228856, ""close"" : 29.54241981393244}","21357","80404","87.5102200725537","0.709179208652075","4.69153198645669","Cyclical"
153,90,"{""open"" : 14.678636254611522, ""high"" : 53.091741609107814, ""low"" : 33.686156919344334, ""close"" : 85.24098602486185}","{""open"" : 69.84795195718247, ""high"" : 104.58615057342992, ""low"" : 66.3184401372009, ""close"" : 17.578028267300038}","{""open"" : 38.31204376828828, ""high"" : 57.325827449463354, ""low"" : 48.60554449169456, ""close"" : 38.886181969650345}","5947","10526","60.2298655987446","0.897191948093771","1.10859307355486","Cyclical"
154,91,"{""open"" : 38.62050862605895, ""high"" : 62.09562355873526, ""low"" : 44.51396768806973, ""close"" : 91.12164069618456}","{""open"" : 54.77792281442546, ""high"" : 101.27983867382292, ""low"" : 69.3110736924105, ""close"" : 83.2002292258812}","{""open"" : 1.5499691924981462, ""high"" : 8.123230004461162, ""low"" : 64.87259480703221, ""close"" : 48.71867572771285}","11160","31679","23.6442378997739","0.765280366170736","1.42977390846091","Cyclical"
155,92,"{""open"" : 64.54934099213045, ""high"" : 63.73554882494403, ""low"" : 21.28444859454028, ""close"" : 58.88933809463488}","{""open"" : 34.58272742181363, ""high"" : 92.3090364283288, ""low"" : 21.11502465811686, ""close"" : 31.02059605952583}","{""open"" : 3.3944308813546265, ""high"" : 75.83972344114338, ""low"" : 53.33775978371678, ""close"" : 63.573409507932624}","98476","82149","24.5852480456747","3.60814464610441","7.3030432419988","Cyclical"
156,93,"{""open"" : 36.46662850691542, ""high"" : 83.07277765638614, ""low"" : 9.926886063194758, ""close"" : 54.90825448290886}","{""open"" : 91.35161349350295, ""high"" : 10.253122583242646, ""low"" : 15.555949656049108, ""close"" : 8.33095154218979}","{""open"" : 82.61440609349768, ""high"" : 81.15872234305544, ""low"" : 0.03684143286120545, ""close"" : 7.205671484049181}","18312","47497","83.9319831987521","0.0394413614584921","3.93326490153787","Cyclical"
157,94,"{""open"" : 7.125084205569654, ""high"" : 6.338829758666957, ""low"" : 25.99995068322988, ""close"" : 26.508833364838868}","{""open"" : 80.40539577894776, ""high"" : 92.74294397642709, ""low"" : 42.45961022683776, ""close"" : 52.750461133796776}","{""open"" : 25.818970493952143, ""high"" : 106.08809045331016, ""low"" : 33.910520661763485, ""close"" : 70.65199097702602}","44212","10112","13.3661665975176","2.46856564232023","7.82782751865144","Cyclical"
158,95,"{""open"" : 5.43681453439171, ""high"" : 19.941977718529145, ""low"" : 38.89583331359047, ""close"" : 2.510614586578841}","{""open"" : 10.919450632960825, ""high"" : 69.977584024873, ""low"" : 23.275367727685605, ""close"" : 21.263487748064414}","{""open"" : 66.20031236081991, ""high"" : 73.68315616763313, ""low"" : 3.463538466976388, ""close"" : 12.220011147450172}","31118","59573","89.9106020712558","4.925291496078","1.78402642735562","Cyclical"
159,96,"{""open"" : 99.85404309379955, ""high"" : 28.02886113656872, ""low"" : 5.473345099803257, ""close"" : 72.85899215471834}","{""open"" : 73.9709792909646, ""high"" : 80.24610759009076, ""low"" : 61.93622679217705, ""close"" : 16.05768208508398}","{""open"" : 73.25483821816259, ""high"" : 106.87341404874533, ""low"" : 78.51396436436872, ""close"" : 27.309997425918997}","45183","6014","58.0180251484133","4.40988044919854","7.11561146638112","Cyclical"
160,97,"{""open"" : 11.74443870917039, ""high"" : 18.00166700229667, ""low"" : 74.15729474688627, ""close"" : 77.69542542309651}","{""open"" : 56.800153111394145, ""high"" : 105.86906144181714, ""low"" : 57.71217636884286, ""close"" : 86.39873714946084}","{""open"" : 46.508818973404246, ""high"" : 111.49135170342929, ""low"" : 44.27600942373553, ""close"" : 86.167983485399}","71598","67990","74.0418034220941","1.62611481935416","8.6526648714439","Cyclical"
161,98,"{""open"" : 51.274152729110334, ""high"" : 86.83082384557798, ""low"" : 2.3540969918962595, ""close"" : 30.62951830137637}","{""open"" : 41.571898765009465, ""high"" : 109.44274989673698, ""low"" : 26.329911360086538, ""close"" : 62.266287919299025}","{""open"" : 1.2254097181651602, ""high"" : 23.2088035228886, ""low"" : 50.416311235325026, ""close"" : 93.81254494064302}","16195","61169","70.8696682116095","0.0340471909841888","9.08518486373778","Cyclical"
162,99,"{""open"" : 81.16386656592731, ""high"" : 71.93255419990129, ""low"" : 20.222166403716688, ""close"" : 21.13004133615135}","{""open"" : 27.079219618091123, ""high"" : 11.379198812651827, ""low"" : 71.13778946572594, ""close"" : 78.66774822623992}","{""open"" : 25.828892663612525, ""high"" : 87.76344415971747, ""low"" : 39.23284747147163, ""close"" : 33.71119627939891}","15490","60490","65.9951187041907","2.96618300056937","2.04514489106275","Cyclical"
163,100,"{""open"" : 11.807810765221994, ""high"" : 116.72935368888274, ""low"" : 46.765170387927206, ""close"" : 33.48932680981254}","{""open"" : 81.84863154570314, ""high"" : 21.69232398638573, ""low"" : 12.55700914617222, ""close"" : 63.582623528334814}","{""open"" : 21.87911331812682, ""high"" : 119.22916575841359, ""low"" : 48.9658304797565, ""close"" : 60.94583171376517}","21804","8753","20.5725196785834","4.64477838358067","1.56556648168798","Cyclical"
164,101,"{""open"" : 32.50852774219774, ""high"" : 41.678130206396844, ""low"" : 51.73327293832814, ""close"" : 57.052909413358634}","{""open"" : 33.962335097374876, ""high"" : 70.46579736561561, ""low"" : 49.353632571201835, ""close"" : 21.94015882229956}","{""open"" : 13.008896424533734, ""high"" : 35.70301033059601, ""low"" : 12.872325332659802, ""close"" : 92.75433038678014}","86288","50479","71.0472164453859","3.89981875374275","5.72067272938225","Cyclical"
165,102,"{""open"" : 90.01055694562285, ""high"" : 42.93603784172686, ""low"" : 7.928975077293057, ""close"" : 54.03176197518456}","{""open"" : 76.52219764435928, ""high"" : 51.35654626529203, ""low"" : 34.18749650851943, ""close"" : 6.8045903659162965}","{""open"" : 37.54341777297483, ""high"" : 26.011083574627143, ""low"" : 0.5645153652100099, ""close"" : 18.803750603022486}","59533","20543","75.550979511583","3.72953168685993","3.16906492596623","Cyclical"
166,103,"{""open"" : 33.44723172309758, ""high"" : 58.39039456210606, ""low"" : 32.44105646665497, ""close"" : 36.86783404726101}","{""open"" : 6.680352014314761, ""high"" : 85.82644889309177, ""low"" : 64.81436631659008, ""close"" : 72.30392139879922}","{""open"" : 38.50047548572781, ""high"" : 107.60834747970206, ""low"" : 13.227291237027767, ""close"" : 60.3338171245966}","7037","33662","88.5388236273069","0.845365654016335","4.34855142112196","Cyclical"
167,104,"{""open"" : 0.47060676917272115, ""high"" : 58.10524616769151, ""low"" : 46.76556965444169, ""close"" : 17.838932423905064}","{""open"" : 95.53823751424733, ""high"" : 79.77666540486484, ""low"" : 72.31498343051499, ""close"" : 81.67349109670631}","{""open"" : 21.475263587039972, ""high"" : 14.069409281375647, ""low"" : 54.912661594094416, ""close"" : 4.433715231858826}","88470","15214","3.19285048198958","1.83285577081611","3.02275805962366","Cyclical"
168,105,"{""open"" : 95.38608310060685, ""high"" : 6.301847393733748, ""low"" : 0.8219153141222613, ""close"" : 84.78675162066722}","{""open"" : 92.55311455839592, ""high"" : 36.105163550182944, ""low"" : 49.03823782180203, ""close"" : 96.6992269801672}","{""open"" : 86.22711526816906, ""high"" : 3.4500233796653568, ""low"" : 23.800277319746712, ""close"" : 21.29500323016753}","40781","6904","98.5300230596609","0.625492719175177","8.74450213369559","Cyclical"
169,106,"{""open"" : 4.581902235680579, ""high"" : 18.951036136442863, ""low"" : 32.74321249068072, ""close"" : 22.704264129782192}","{""open"" : 84.1879253912694, ""high"" : 61.56658377669605, ""low"" : 51.75655964159937, ""close"" : 59.91828852938434}","{""open"" : 12.411172720827768, ""high"" : 43.32935171628794, ""low"" : 35.71552883253547, ""close"" : 6.6600898117604945}","87760","75584","34.8271358115755","3.13666491545267","9.69022160065404","Cyclical"
170,107,"{""open"" : 76.26400379707616, ""high"" : 76.84521649193248, ""low"" : 63.35547382315197, ""close"" : 20.087095328188642}","{""open"" : 6.986249116721632, ""high"" : 6.985135334386534, ""low"" : 74.09251503885858, ""close"" : 1.0313349429838192}","{""open"" : 90.99360033534343, ""high"" : 3.39848503899991, ""low"" : 64.46189570889325, ""close"" : 96.54578341011404}","33818","78791","41.2466470580086","1.72039344883457","5.66165437578224","Cyclical"
171,108,"{""open"" : 78.3401157446676, ""high"" : 46.44570855300468, ""low"" : 65.40966907748391, ""close"" : 36.41717962607576}","{""open"" : 79.67247708418964, ""high"" : 50.79580712759955, ""low"" : 68.42025395580382, ""close"" : 96.16305307123784}","{""open"" : 39.20125490046917, ""high"" : 8.793177360403295, ""low"" : 24.86397936321241, ""close"" : 13.905695807689899}","74136","60998","98.9215713631724","0.663430738963807","7.47706300757184","Cyclical"
172,109,"{""open"" : 76.53055173578842, ""high"" : 113.77420785518845, ""low"" : 37.44511950809386, ""close"" : 59.280778813387094}","{""open"" : 61.50766650777633, ""high"" : 80.29627180409175, ""low"" : 27.643174391036, ""close"" : 71.14647974866206}","{""open"" : 60.30887245451058, ""high"" : 19.3560744019773, ""low"" : 16.998368792250353, ""close"" : 0.3906331820021425}","97599","86352","94.5196381794241","0.466105867531478","5.92793277116722","Cyclical"
173,110,"{""open"" : 23.31195878133341, ""high"" : 44.913351802579406, ""low"" : 51.43659195405327, ""close"" : 34.854718965620805}","{""open"" : 76.72407851206708, ""high"" : 66.30626251931686, ""low"" : 57.258234703794585, ""close"" : 6.410183172506612}","{""open"" : 14.668724409823941, ""high"" : 77.64815973996616, ""low"" : 52.15271700258492, ""close"" : 59.20776378546566}","22766","33933","50.4036321770634","3.54973008375743","8.82282406887205","Cyclical"
174,111,"{""open"" : 63.18128743007689, ""high"" : 76.58933195724062, ""low"" : 74.4210322373624, ""close"" : 84.27841262041173}","{""open"" : 2.913316195622384, ""high"" : 25.87001233435121, ""low"" : 51.65210184797246, ""close"" : 57.86515726943422}","{""open"" : 90.08058063748523, ""high"" : 49.965987767829894, ""low"" : 3.065828820755332, ""close"" : 60.87977797768662}","66552","61945","61.3801620071844","4.38929610444597","8.51732478972149","Cyclical"
175,112,"{""open"" : 26.443428326348762, ""high"" : 21.739747675157595, ""low"" : 6.527599194287976, ""close"" : 94.2624440865413}","{""open"" : 83.8994396303384, ""high"" : 11.651340698242034, ""low"" : 10.814434904648458, ""close"" : 16.853626580474934}","{""open"" : 68.10061665159827, ""high"" : 28.994916366093342, ""low"" : 39.431551982484194, ""close"" : 21.728408716007806}","22451","23448","76.4907867734178","1.39112661011437","1.3169353883988","Cyclical"
176,113,"{""open"" : 54.84230599125799, ""high"" : 105.73830417495498, ""low"" : 4.1118415108205575, ""close"" : 37.43574408469901}","{""open"" : 21.41638507432859, ""high"" : 29.930829891439803, ""low"" : 72.67178772843079, ""close"" : 50.360970597842545}","{""open"" : 95.32590801537488, ""high"" : 96.32020875041108, ""low"" : 55.007756531340455, ""close"" : 0.42327249034574965}","41231","15229","79.0931853731428","4.89573764195226","6.70371692769618","Cyclical"
177,114,"{""open"" : 85.6534693186334, ""high"" : 20.53944556258248, ""low"" : 25.558691977505053, ""close"" : 92.49159236715468}","{""open"" : 14.322459778330954, ""high"" : 88.4144435853655, ""low"" : 27.494158023840303, ""close"" : 65.27443801541462}","{""open"" : 45.28719416294784, ""high"" : 26.63580683963323, ""low"" : 33.640974376196056, ""close"" : 75.28526824489883}","34155","4198","66.6174931576905","2.03187333750764","1.68584867181869","Cyclical"
178,115,"{""open"" : 55.53368888401495, ""high"" : 114.37587521867151, ""low"" : 10.561179675900156, ""close"" : 23.41887634210167}","{""open"" : 58.33009837336436, ""high"" : 69.63321125047389, ""low"" : 17.92341326887568, ""close"" : 82.74491057527682}","{""open"" : 6.292066996689449, ""high"" : 64.94032490098606, ""low"" : 65.51500898402449, ""close"" : 82.07425127547864}","53734","46801","26.074499207334","2.5207781931621","4.03380337730479","Cyclical"
179,116,"{""open"" : 32.097249865141755, ""high"" : 81.7089495434042, ""low"" : 18.51109614515586, ""close"" : 53.98541777596051}","{""open"" : 35.69676289287989, ""high"" : 111.71434649568272, ""low"" : 73.68589722846438, ""close"" : 45.4872879084063}","{""open"" : 78.04784718772659, ""high"" : 1.1315256000687768, ""low"" : 66.26304291019684, ""close"" : 95.50409694104633}","67764","12384","6.73917421314012","0.277799048267751","9.25473940073772","Cyclical"
180,117,"{""open"" : 68.57373432726726, ""high"" : 30.238600113540315, ""low"" : 28.144827368987908, ""close"" : 21.876669076681154}","{""open"" : 55.88526224838828, ""high"" : 93.00183449563283, ""low"" : 47.21348199719085, ""close"" : 58.88482368400807}","{""open"" : 72.47261226249617, ""high"" : 102.98419016005222, ""low"" : 0.10275018499253719, ""close"" : 51.10772651342719}","96410","60037","51.2074553198276","1.73747388147091","9.78133255472869","Cyclical"
181,118,"{""open"" : 93.34203244437474, ""high"" : 86.31195815414831, ""low"" : 11.332201918765321, ""close"" : 32.45870942230802}","{""open"" : 82.9045245700324, ""high"" : 69.08085367449553, ""low"" : 45.83879774556632, ""close"" : 37.80686526588251}","{""open"" : 93.95015269944673, ""high"" : 105.37346525868611, ""low"" : 71.17051282206492, ""close"" : 48.967288289479605}","14945","31541","23.2433132071326","3.33107894052956","9.26869261995863","Cyclical"
182,119,"{""open"" : 47.196302190276995, ""high"" : 97.97789265500707, ""low"" : 15.705605166170553, ""close"" : 27.516211994806806}","{""open"" : 69.22064668531264, ""high"" : 29.816030589361063, ""low"" : 69.52007598879152, ""close"" : 34.77533474408059}","{""open"" : 61.84164162784293, ""high"" : 107.53844224904302, ""low"" : 41.78829851560078, ""close"" : 45.53281145062789}","49455","13265","49.0895201174166","2.98082484906974","1.01125077830114","Cyclical"
183,120,"{""open"" : 69.51161599557854, ""high"" : 33.681912384105736, ""low"" : 19.042506565028496, ""close"" : 58.520841760695696}","{""open"" : 64.0477883588613, ""high"" : 94.96303028327179, ""low"" : 21.822524735187763, ""close"" : 13.109017965301284}","{""open"" : 37.32962877390118, ""high"" : 53.698887584186906, ""low"" : 24.49725997958664, ""close"" : 74.69134620323797}","28498","47376","50.1614400271272","0.051682816519385","2.4748982732962","Cyclical"
184,121,"{""open"" : 38.78307484609258, ""high"" : 12.358902403734469, ""low"" : 10.379794318170603, ""close"" : 63.04047192792599}","{""open"" : 98.15202857144625, ""high"" : 67.75714670470452, ""low"" : 79.9966876926183, ""close"" : 53.7132442030541}","{""open"" : 50.19722398140372, ""high"" : 39.37633884644672, ""low"" : 47.5625757621676, ""close"" : 70.77186363099838}","61155","51443","1.92551442962843","2.81289489290017","5.16350475767434","Cyclical"
185,122,"{""open"" : 3.864134102456984, ""high"" : 114.25327925309459, ""low"" : 63.013992306447335, ""close"" : 36.653610093516505}","{""open"" : 8.029808787619963, ""high"" : 82.63600539434503, ""low"" : 7.349567421051688, ""close"" : 72.05629134657573}","{""open"" : 70.43114260522339, ""high"" : 1.6511907166970197, ""low"" : 77.00397640608034, ""close"" : 4.831117468377499}","70660","74897","77.2640898527248","3.25914178343457","2.70237811934017","Cyclical"
